ObjectGUID;ObjectId;Alfa;Beta;Tau1;Phi1;I1;Tau2;Phi2;I2;Tau3;Phi3;I3;Tau4;Phi4;I4;J;Q;U;V;P;J0;Q0;U0;V0;P0;Alfa1;Beta1;Gamma;Re_Hi;Im_Hi;ErrorCode;ErrorCode01
{E3E0C04E-D30C-4725-97A6-A308DC33353C};123;5;17;0;0;0;0;1,570796327;0;0;0,785398163;0;1,570796327;0,785398163;0;0;0;0;0;0;0;0;0;0;0;0;0;0,785398163;0;0;0;2
{E4416948-9423-4559-A5C0-DE4D6CA25009};52;2;9;0;0;0;0;1,570796327;0;0;0,785398163;0;1,570796327;0,785398163;0;0;0;0;0;0;0;0;0;0;0;0;0;0,785398163;0;0;0;2
{E6D582A2-EA70-4B6E-9AF7-3288E59C92F1};27;1;5;0;0;0,2;0;1,570796327;0,2;0;0,785398163;0,2;1,570796327;0,785398163;0,2;0,4;0;0;0;0;0,592873517;-0,387146791;0;0;0,653000648;0;0;0,785398163;0;0;0;2
{EA259BF0-F54A-44C7-9814-3F168B9AEC09};190;9;0;0;0;0;0;1,570796327;0;0;0,785398163;0;1,570796327;0,785398163;0;0;0;0;0;0;0;0;0;0;0;0;0;0,785398163;0;0;0;2
{EB68DF90-3A8C-49F8-A29E-006DB2FEA18F};106;5;0;0;0;0;0;1,570796327;0;0;0,785398163;0;1,570796327;0,785398163;0;0;0;0;0;0;0;0;0;0;0;0;0;0,785398163;0;0;0;2
{EC9F090C-5F4D-4C89-987F-E5042719D9C1};143;6;16;0;0;0,055;0;1,570796327;0,025;0;0,785398163;0,03;1,570796327;0,785398163;0,04;0,08;0,03;-0,02;-2,42861E-17;0,450693909;0,089538694;-0,032963844;0,021841998;0,005193078;0,445427855;0;0;0,785398163;0;0;0;1
{ED565392-7CEE-4D64-80FB-E4E033959424};209;9;19;0;0;0;0;1,570796327;0;0;0,785398163;0;1,570796327;0,785398163;0;0;0;0;0;0;0;0;0;0;0;0;0;0,785398163;0;0;0;2
{EE04596A-BEFD-45EB-92DB-47750833F3AC};188;8;19;0;0;1,5;0;1,570796327;0,3;0;0,785398163;0,9;1,570796327;0,785398163;0,9;1,8;1,2;-8,88178E-16;-8,88178E-16;0,666666667;1,506490454;0,036459992;7,39361E-16;1,2006E-15;0,02420194;-5,81311E-16;8,22098E-16;0,785398163;-5,81311E-16;8,22098E-16;0;0
{EE21303B-A685-43B9-B84B-AFB13DAAA2E3};24;1;2;0;0;0,06;0;1,570796327;0,06;0;0,785398163;0,06;1,570796327;0,785398163;0,06;0,12;0;0;0;0;0,177862055;-0,116144037;0;0;0,653000648;0;0;0,785398163;0;0;0;2
{F0273626-C269-48A4-B8AC-470841C04382};85;4;0;0;0;0,2;0;1,570796327;0,1;0;0,785398163;0,15;1,570796327;0,785398163;0,14;0,3;0,1;-1,11022E-16;-0,02;0,339934634;0,34786844;-0,142141714;-0,005193078;0,021841998;0,413673095;0;0;0,785398163;0;0;0;2
{F0611E87-4B1A-493C-91D3-1970AA753B1F};191;9;1;0;0;0;0;1,570796327;0;0;0,785398163;0;1,570796327;0,785398163;0;0;0;0;0;0;0;0;0;0;0;0;0;0,785398163;0;0;0;2
{F20A1E0C-8FEB-4940-B3B5-36F71BD7C348};94;4;9;0;0;0,075;0;1,570796327;0,075;0;0,785398163;0,125;1,570796327;0,785398163;0,075;0,15;-3,49148E-16;0,1;2,76101E-31;0,666666667;0,222327569;-0,145180047;-0,109209989;-0,025965389;0,825432495;0;0;0,785398163;0;0;0;1
{F57456F4-376D-46C2-A6A4-BC2DAD5540CA};6;0;5;0;0;0;0;1,570796327;0;0;0,785398163;0;1,570796327;0,785398163;0;0;0;0;0;0;0;0;0;0;0;0;0;0,785398163;0;0;0;2
{F716E506-67FB-444A-B43D-746BF13169C5};18;0;17;0;0;0,065;0;1,570796327;0,065;0;0,785398163;0,065;1,570796327;0,785398163;0,065;0,13;0;0;0;0;0,192683893;-0,125822707;0;0;0,653000648;0;0;0,785398163;0;0;0;2
{F78CE549-2557-4106-9F77-B7EEE787124F};111;5;5;0;0;0,6;0;1,570796327;0,25;0;0,785398163;0,325;1,570796327;0,785398163;0,423;0,85;0,35;-0,2;-0,004;0,474273803;0,921102781;-0,303922603;0,217381362;0,056299177;0,410247245;0;0;0,785398163;0;0;0;1
{F8798D62-86B2-4275-9CA0-D58D786AEADE};126;5;20;0;0;1,315;0;1,570796327;0,105;0;0,785398163;0,71;1,570796327;0,785398163;0,71;1,42;1,21;-8,88178E-16;-8,88178E-16;0,852112676;0,933581943;0,419071281;7,39361E-16;1,2006E-15;0,448885376;-5,76507E-16;8,15304E-16;0,785398163;-5,76507E-16;8,15304E-16;0;0
{FA1B09FA-46A8-432E-A40C-0D4BB187B373};22;1;0;0;0;0;0;1,570796327;0;0;0,785398163;0;1,570796327;0,785398163;0;0;0;0;0;0;0;0;0;0;0;0;0;0,785398163;0;0;0;2
{FA915BD5-1C5D-4F64-9030-2617EE1DCC1B};140;6;13;0;0;0,97;0;1,570796327;0,26;0;0,785398163;0,615;1,570796327;0,785398163;0,615;1,23;0,71;-5,55112E-16;-5,55112E-16;0,577235772;1,135900511;-0,138125889;4,621E-16;7,50374E-16;0,121600341;-6,14061E-16;8,68414E-16;0,785398163;-6,14061E-16;8,68414E-16;0;0
{FD4900BC-84EF-4452-8651-D24F4227F4F9};118;5;12;0;0;0,095;0;1,570796327;0,015;0;0,785398163;0,05;1,570796327;0,785398163;0,055;0,11;0,08;-0,01;-5,55112E-17;0,732932523;0,085610859;0,012109336;0,010920999;0,002596539;0,192872765;-0,001629587;0,028190237;0,785398163;-0,001629588;0,028197707;0;0
{FD7D7243-A72A-4EE5-A372-E08ACFBB6F8B};53;2;10;0;0;0;0;1,570796327;0;0;0,785398163;0;1,570796327;0,785398163;0;0;0;0;0;0;0;0;0;0;0;0;0;0,785398163;0;0;0;2
{FE11BE76-B40C-4375-8DC1-EBF716BB02C2};115;5;9;0;0;0,16;0;1,570796327;0,16;0;0,785398163;0,16;1,570796327;0,785398163;0,16;0,32;0;0;0;0;0,474298814;-0,309717433;0;0;0,653000648;0;0;0,785398163;0;0;0;2
{FEEF6BF0-FF85-4B8F-8EC7-C7AFA2A53617};172;8;3;0;0;0,58;0;1,570796327;0,22;0;0,785398163;0,4;1,570796327;0,785398163;0,4;0,8;0,36;-1,66533E-16;-1,66533E-16;0,45;0,837314922;-0,240707416;1,3863E-16;2,25112E-16;0,287475369;-3,6332E-16;5,13812E-16;0,785398163;-3,6332E-16;5,13812E-16;0;0
{FFA4FD53-5F48-419D-82FF-753E4A493838};204;9;14;0;0;0;0;1,570796327;0;0;0,785398163;0;1,570796327;0,785398163;0;0;0;0;0;0;0;0;0;0;0;0;0;0,785398163;0;0;0;2
